System Lookup Name,Display Name,Type,Units,Range Min Label,Range Max Label,Range Min Value,Range Max Value,Range Default Value,Range Step Interval,Show Internally,Show Customer,System Variable
Wrap_install_2,Install 2 Man,Boolean,Boolean,,,,,,,Yes,Yes,No
Coroplast_Aframe3x4ft,3ft h x 4ft w Finished Size,Boolean,Boolean,,,,,,,Yes,Yes,No
Raceway_Length,Raceway Length,Numeric,Feet,,,,,,,Yes,No,No
Letter_height_LC,Lowercase Letter Height (in),Numeric,Unit,,,,,,,Yes,No,No
Tape_Right,Tape Right,Boolean,Boolean,,,,,,,Yes,Yes,No
PylonSign,Pylon Sign,Boolean,Boolean,,,,,,,Yes,Yes,No
CL_Pieces_Qty,Qty of Letters/ Pieces,Numeric,Unit,,,,,,,Yes,Yes,No
Quantities,Quantity,Range,Unit,Qty 100,Qty 1000,25,1000,250,500,Yes,Yes,No
Partial_Wrap,Partial Wrap,Boolean,Boolean,,,,,,,Yes,Yes,No
Pole_Pocket_3in_84in_144in,3in Pole Pocket: 84in h x 144in w,Boolean,Boolean,,,,,,,Yes,Yes,No
Hours_On_Site,Hours On Site (total),Numeric,Unit,,,,,,,Yes,Yes,No
Outdoor,Outdoor,Boolean,Boolean,0,200,,200,,,Yes,No,No
Additional_Hours,Additional Time,Numeric,Unit,,,,,,,Yes,Yes,No
Custom_Shape,Custom Cut Shape,Boolean,Boolean,,,,,,,Yes,Yes,No
Install15Qty,15MinsQty,Numeric,Unit,,,,,,,Yes,No,No
H_WireStakes10x24,H Wire Stakes 10in x 24in,Numeric,Unit,,,,,,,Yes,Yes,No
Numbering,Numbering,Numeric,Unit,,,,,,,Yes,Yes,No
Quarter_Page_Cutting,1/4 Page (Quarter),Boolean,Boolean,,,,,,,Yes,Yes,No
Metallic_Option,Epson- Metallic Ink Option,Boolean,Boolean,,,,,,,Yes,Yes,No
Pole_Pocket_1in,Pole Pocket 1in,Boolean,Boolean,,,,,,,Yes,Yes,No
Qtyofletters_LC,Lowercase Letter Qty,Numeric,Unit,,,,,,,Yes,No,No
Tent_HalfWall_1S_withHardwareQty,1 Sided Half Wall w/Hardware Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
SwissQPrinting,SwissQ Printing,Boolean,Boolean,,,,,,,Yes,Yes,No
Tent_weights6,Sandbag Weight Set (6),Numeric,Unit,,,,,,,Yes,Yes,No
Channel_Coil_Length_3rdColor,Channel Coil Length (3rd Color),Numeric,Inches,,,,,,,Yes,No,No
CL_Led_Qty_2ndColor,Led's Qty (2nd Color),Numeric,Unit,,,,,,,Yes,Yes,No
Wrap_install2_sqft,Install 2 Man (Vehicle Sq. Ft),Numeric,Sqft,,,,,,,Yes,Yes,No
Grommets_Sides,Grommets Sides,Boolean,Boolean,,,,,,,Yes,Yes,No
Special_Colors,Special Colors,Boolean,Boolean,,,,,,,Yes,Yes,No
Wrap_flat_install,Installed,Boolean,Boolean,,,,,,,Yes,Yes,No
Landscape,Landscape,Boolean,Boolean,,,,,,,Yes,Yes,No
Tape_Spacing,Tape Spacing,Numeric,Inches,,,,,,,Yes,Yes,No
PlasmaCutting,Plasma Cutting,Boolean,Boolean,,,,,,,Yes,Yes,No
Tent_HalfWall_2S_Qty,2 Sided Half Wall Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
Additional_Design_Hours,Additional Design:,Numeric,Unit,,,,,,,Yes,Yes,No
